,,Al,Fe,Mg
1,Llanedyrn,14.4,7,4.3
2,Llanedyrn,13.8,7.08,3.43
3,Llanedyrn,14.6,7.09,3.88
4,Llanedyrn,11.5,6.37,5.64
5,Llanedyrn,13.8,7.06,5.34
6,Llanedyrn,10.9,6.26,3.47
7,Llanedyrn,10.1,4.26,4.26
8,Llanedyrn,11.6,5.78,5.91
9,Llanedyrn,11.1,5.49,4.52
10,Llanedyrn,13.4,6.92,7.23
11,Llanedyrn,12.4,6.13,5.69
12,Llanedyrn,13.1,6.64,5.51
13,Llanedyrn,12.7,6.69,4.45
14,Llanedyrn,12.5,6.44,3.94
15,Caldicot,11.8,5.44,3.94
16,Caldicot,11.6,5.39,3.77
17,IsleThorns,18.3,1.28,0.67
18,IsleThorns,15.8,2.39,0.63
19,IsleThorns,18,1.5,0.67
20,IsleThorns,18,1.88,0.68
21,IsleThorns,20.8,1.51,0.72
22,AshleyRails,17.7,1.12,0.56
23,AshleyRails,18.3,1.14,0.67
24,AshleyRails,16.7,0.92,0.53
25,AshleyRails,14.8,2.74,0.67
26,AshleyRails,19.1,1.64,0.6
