,,Ca,Na
18,IsleThorns,0.01,0.04
19,IsleThorns,0.01,0.06
20,IsleThorns,0.01,0.04
24,AshleyRails,0.01,0.05
17,IsleThorns,0.03,0.03
25,AshleyRails,0.03,0.05
22,AshleyRails,0.06,0.06
23,AshleyRails,0.06,0.05
21,IsleThorns,0.07,0.1
26,AshleyRails,0.1,0.03
2,Llanedyrn,0.12,0.17
3,Llanedyrn,0.13,0.2
1,Llanedyrn,0.15,0.51
4,Llanedyrn,0.16,0.14
6,Llanedyrn,0.17,0.22
8,Llanedyrn,0.18,0.16
5,Llanedyrn,0.2,0.2
7,Llanedyrn,0.2,0.18
13,Llanedyrn,0.2,0.22
11,Llanedyrn,0.22,0.54
14,Llanedyrn,0.22,0.23
10,Llanedyrn,0.28,0.2
9,Llanedyrn,0.29,0.3
16,Caldicot,0.29,0.06
15,Caldicot,0.3,0.04
12,Llanedyrn,0.31,0.24
